,Season,Player,Squad,F_Pos,Avg_Fanta_Score,Autogoal,Pos,Comp,Age,Match_Played,Match_Started,Min_Played,Avg_Min_Played,Goal,Assist,Penalties_Scored,Penalties_Attempted,YCards,RCards,xG,npxG,xAG,PrgC,PrgP,PrgR
18,2015-2016,GOLLINI,Verona,P,6.21,0.0,,,,,,,,,,,,,,,,,,,
22,2015-2016,RAFAEL,Verona,P,5.67,0.0,,,,,,,,,,,,,,,,,,,
23,2015-2016,BARDI,Frosinone,P,6.75,0.0,,,,,,,,,,,,,,,,,,,
24,2015-2016,SECULIN,Chievo,P,6.67,0.0,,,,,,,,,,,,,,,,,,,
25,2015-2016,NETO,Juventus,P,6.17,0.0,,,,,,,,,,,,,,,,,,,
27,2015-2016,RADUNOVIC,Atalanta,P,6.5,0.0,,,,,,,,,,,,,,,,,,,
28,2015-2016,PUGLIESI,Empoli,P,6.0,0.0,,,,,,,,,,,,,,,,,,,
29,2015-2016,LEZZERINI,Fiorentina,P,6.25,0.0,,,,,,,,,,,,,,,,,,,
31,2015-2016,COLOMBI,Carpi,P,6.25,0.0,,,,,,,,,,,,,,,,,,,
32,2015-2016,SANCTIS,Roma,P,6.38,0.0,,,,,,,,,,,,,,,,,,,
33,2015-2016,BASSI,Atalanta,P,6.5,0.0,,,,,,,,,,,,,,,,,,,
34,2015-2016,COSTA,Bologna,P,5.9,0.0,,,,,,,,,,,,,,,,,,,
35,2015-2016,BENUSSI,Carpi,P,5.75,0.0,,,,,,,,,,,,,,,,,,,
36,2015-2016,BRKIC,Carpi,P,5.12,0.0,,,,,,,,,,,,,,,,,,,
37,2015-2016,ZAPPINO,Frosinone,P,6.0,0.0,,,,,,,,,,,,,,,,,,,
38,2015-2016,CARRIZO,Inter,P,6.0,0.0,,,,,,,,,,,,,,,,,,,
39,2015-2016,ABBIATI,Milan,P,6.5,0.0,,,,,,,,,,,,,,,,,,,
40,2015-2016,GABRIEL,Napoli,P,6.0,0.0,,,,,,,,,,,,,,,,,,,
41,2015-2016,BRIGNOLI,Sampdoria,P,6.0,0.0,,,,,,,,,,,,,,,,,,,
42,2015-2016,PEGOLO,Sassuolo,P,6.25,0.0,,,,,,,,,,,,,,,,,,,
43,2015-2016,ICHAZO,Torino,P,5.5,0.0,,,,,,,,,,,,,,,,,,,
44,2015-2016,COPPOLA,Verona,P,6.0,1.0,,,,,,,,,,,,,,,,,,,
45,2015-2016,ALASTRA,Palermo,P,6.25,0.0,,,,,,,,,,,,,,,,,,,
46,2015-2016,POSAVEC,Palermo,P,7.0,0.0,,,,,,,,,,,,,,,,,,,
49,2015-2016,GO,Fiorentina,D,6.07,0.0,,,,,,,,,,,,,,,,,,,
66,2015-2016,E,Verona,D,5.82,0.0,,,,,,,,,,,,,,,,,,,
99,2015-2016,ADNAN,Udinese,D,6.02,0.0,,,,,,,,,,,,,,,,,,,
111,2015-2016,G,Palermo,D,5.56,2.0,,,,,,,,,,,,,,,,,,,
114,2015-2016,MAICON,Roma,D,6.07,0.0,,,,,,,,,,,,,,,,,,,
116,2015-2016,DANILO,Udinese,D,5.75,0.0,,,,,,,,,,,,,,,,,,,
117,2015-2016,BIANCHETTI,Verona,D,5.65,0.0,,,,,,,,,,,,,,,,,,,
118,2015-2016,HELANDER,Verona,D,5.69,0.0,,,,,,,,,,,,,,,,,,,
119,2015-2016,MORAS,Verona,D,5.92,0.0,,,,,,,,,,,,,,,,,,,
